"abought","aby"
"abutted","abut"
"abutting","abut"
"abuttings","abut"
"acroteria","acroterium"
"adjudged","adjudge"
"adjudges","adjudge"
"adjudging","adjudge"
"adjudgings","adjudge"
"Adonises","Adonis"
"adzes","adze"
"æqualled","æqual"
"æqualling","æqual"
"æquallings","æqual"
"aeries","aerie"
"a**es","a**"
"æternities","æternity"
"affranchised","affranchise"
"affranchising","affranchise"
"affranchisings","affranchise"
"agorot","agorah"
"alabastra","alabastrum"
"aliened","alien"
"aliening","alien"
"alienings","alien"
"aliyos","aliyah"
"aliyot","aliyah"
"aliyoth","aliyah"
"alkies","alkie"
"alledged","alledge"
"alledges","alledge"
"alledging","alledge"
"alledgings","alledge"
"analyses","analysis"
"analyzes","analyze"
"anaphors","anaphora"
"anastomoses","anastomosis"
"ancestries","ancestry"
"anchyloses","anchylosis"
"anecdota","anecdotum"
"ankyloses","ankylosis"
"annexed","annex"
"annexes","annex"
"annexing","annex"
"annexings","annex"
"answered","answer"
"answering","answer"
"anted","ante"
"antiquities","antiquity"
"apologies","apology"
"apophyses","apophysis"
"appalled","appall"
"appalling","appall"
"appallings","appall"
"apsides","apside"
"arises","arise"
"armatoloi","armatolos"
"armies","army"
"arquebuses","arquebus"
"arses","arse"
"asbestoses","asbestosis"
"asked","ask"
"asking","ask"
"assailed","assail"
"assailing","assail"
"assailings","assail"
"asses","ass"
"attaches","attach"
"aumbries","aumbry"
"auncestries","auncestry"
"aunties","auntie"
"authorities","authority"
"autochthones","autochthon"
"axed","axe"
"axes","axe"
"axing","axe"
"axings","axe"
"ayries","ayrie"
"bacchantes","bacchante"
"baches","bach"
"baddies","baddie"
"bade","bid"
"baffies","baffie"
"baggies","baggie"
"baldies","baldie"
"balebatim","baleboste"
"barbitoi","barbiton"
"bardies","bardy"
"barnies","barnie"
"bases","base"
"bathed","bathe"
"bathing","bathe"
"bathings","bathe"
"batteries","battery"
"battle-axes","battle-axe"
"battleaxes","battleaxe"
"bavaroises","bavarois"
"bawties","bawty"
"beardies","beardy"
"beasties","beastie"
"beauties","beauty"
"beeves","beef"
"bennies","benny"
"beshat","beshit"
"besinging","besing"
"besingings","besing"
"besought","beseech"
"bewent","bego"
"bezzies","bezzie"
"bheesties","bheestie"
"bickies","bicky"
"bidden","bid"
"bigged","big"
"biggies","biggie"
"bigging","big"
"bilboes","bilbo"
"biocoenoses","biocoenosis"
"birdies","birdie"
"birled","birl"
"birling","birl"
"birlings","birl"
"bitted","bit"
"bitties","bittie"
"bitting","bit"
"bittings","bit"
"blackies","blackie"
"blankies","blankie"
"blinkies","blinky"
"blintzes","blintz"
"blowies","blowy"
"blowing","blow"
"bode","bide"
"bodies","body"
"bogies","bogie"
"bolides","bolide"
"bolshies","bolshie"
"boogeymen","boogeyman"
"bookstaves","bookstave"
"booties","bootie"
"bothies","bothie"
"bourgeoises","bourgeois"
"brasses","brass"
"brassies","brassy"
"breakies","breaky"
